Title,Country,Year,Operating Temperature (℃),Cathode Pressure (bar),Anode Pressure (bar),Operating Pressure (bar),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,C wt. %,Pure_0/Supported_1,Anode Catalyst Type,I/C in Anode,Pt wt. %,I/C in Cathode,Anode Catalyst Loading,Catahode Catalyst Loading,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Cathode Precious Metal Loading (mg cm-2 Pt/Pd),MEA Preparation Method,CCM_0/GDE_1,Membrane Thickness (μm),EW,Type,Current at 1.5 V,Current at 1.6 V,Current at 1.7 V,Current at 1.8 V,Current at 1.9 V,Current at 2.0 V,Minimum Stability Current Density (A cm-2),Maximum Stability Current Density (A cm-2),Fluctuation period (h),Stability Test Time (h-1)
"Nanosized IrOx and IrRuOx electrocatalysts for the O2evolution
reaction
 in PEM water electrolysers",Italy,2015,60,1,1,1,4,5,74.37742114,16.76812396,8.854454898,0,0,Ir0.7Ru0.3Ox ,0.25,30,0.5,1.5,0.5 mg cm-2 Pt,1.367183177,0.5,CCM,0,125,1100,nafion115,0.226,0.692,1.271,1.9,2.585,3.27,0,0,0,0
"Nanosized IrOx and IrRuOx electrocatalysts for the O2evolution
reaction
 in PEM water electrolysers",Italy,2015,70,1,1,1,4,5,74.37742114,16.76812396,8.854454898,0,0,Ir0.7Ru0.3Ox ,0.25,30,0.5,1.5,0.5 mg cm-2 Pt,1.367183177,0.5,CCM,0,125,1100,nafion115,0.312,0.817,1.427,2.183,2.966,3.749,0,0,0,0
"Nanosized IrOx and IrRuOx electrocatalysts for the O2evolution
reaction
 in PEM water electrolysers",Italy,2015,80,1,1,1,4,5,74.37742114,16.76812396,8.854454898,0,0,Ir0.7Ru0.3Ox ,0.25,30,0.5,1.5,0.5 mg cm-2 Pt,1.367183177,0.5,CCM,0,125,1100,nafion115,0.442,1.002,1.638,2.478,3.22,3.962,0,0,0,0
"Nanosized IrOx and IrRuOx electrocatalysts for the O2evolution
reaction
 in PEM water electrolysers",Italy,2015,90,1,1,1,4,5,74.37742114,16.76812396,8.854454898,0,0,Ir0.7Ru0.3Ox ,0.25,30,0.5,1.5,0.5 mg cm-2 Pt,1.367183177,0.5,CCM,0,125,1100,nafion115,0.603,1.181,1.84,2.653,3.466,4.279,0,0,0,0
"Nanosized IrOx and IrRuOx electrocatalysts for the O2evolution
reaction
 in PEM water electrolysers",Italy,2015,30,1,1,1,4,5,85.52915767,0,14.47084233,0,0,IrOx ,0.25,30,0.5,1.5,0.5 mg cm-2 Pt,1.282937365,0.5,CCM,0,125,1100,nafion115,0.032,0.179,0.501,0.897,1.316,1.735,0,0,0,0
"Nanosized IrOx and IrRuOx electrocatalysts for the O2evolution
reaction
 in PEM water electrolysers",Italy,2015,40,1,1,1,4,5,85.52915767,0,14.47084233,0,0,IrOx ,0.25,30,0.5,1.5,0.5 mg cm-2 Pt,1.282937365,0.5,CCM,0,125,1100,nafion115,0.032,0.258,0.651,1.1,1.626,2.152,0,0,0,0
"Nanosized IrOx and IrRuOx electrocatalysts for the O2evolution
reaction
 in PEM water electrolysers",Italy,2015,50,1,1,1,4,5,85.52915767,0,14.47084233,0,0,IrOx ,0.25,30,0.5,1.5,0.5 mg cm-2 Pt,1.282937365,0.5,CCM,0,125,1100,nafion115,0.063,0.342,0.789,1.31,1.905,2.5,0,0,0,0
"Nanosized IrOx and IrRuOx electrocatalysts for the O2evolution
reaction
 in PEM water electrolysers",Italy,2015,60,1,1,1,4,5,85.52915767,0,14.47084233,0,0,IrOx ,0.25,30,0.5,1.5,0.5 mg cm-2 Pt,1.282937365,0.5,CCM,0,125,1100,nafion115,0.077,0.437,0.978,1.566,2.198,2.83,0,0,0,0
"Nanosized IrOx and IrRuOx electrocatalysts for the O2evolution
reaction
 in PEM water electrolysers",Italy,2015,70,1,1,1,4,5,85.52915767,0,14.47084233,0,0,IrOx ,0.25,30,0.5,1.5,0.5 mg cm-2 Pt,1.282937365,0.5,CCM,0,125,1100,nafion115,0.101,0.519,1.098,1.796,2.561,3.326,0,0,0,0
"Nanosized IrOx and IrRuOx electrocatalysts for the O2evolution
reaction
 in PEM water electrolysers",Italy,2015,80,1,1,1,4,5,85.52915767,0,14.47084233,0,0,IrOx ,0.25,30,0.5,1.5,0.5 mg cm-2 Pt,1.282937365,0.5,CCM,0,125,1100,nafion115,0.167,0.7,1.294,1.991,2.8,3.609,0,0,0,0
"Nanosized IrOx and IrRuOx electrocatalysts for the O2evolution
reaction
 in PEM water electrolysers",Italy,2015,90,1,1,1,4,5,85.52915767,0,14.47084233,0,0,IrOx ,0.25,30,0.5,1.5,0.5 mg cm-2 Pt,1.282937365,0.5,CCM,0,125,1100,nafion115,0.299,0.811,1.395,2.047,2.281,2.515,0,0,0,0
"Performance analysis of short-side-chain Aquivionsperfluorosulfonic
acid polymer for proton exchange membrane water electrolysis", Italy,2014,80,1,1,1,2,5,85.52915767,0,14.47084233,0,0, IrO2,0.5,50,0.5,2 mg cm-2 Ir,0.3 mg cm-2 Pt,2,0.3,CCM,0,120,870,short-side-chain perfluorosulfonic acid (SSC-PFSA) membrane ,0.4,0.92,1.647,2.413,3.234,4.055,0,0,0,0
"Performance analysis of short-side-chain Aquivionsperfluorosulfonic
acid polymer for proton exchange membrane water electrolysis", Italy,2014,80,1,1,1,2,5,85.52915767,0,14.47084233,0,0, IrO2,0.5,50,0.5,2 mg cm-2 Ir,0.3 mg cm-2 Pt,2,0.3,CCM,0,125,1100,nafion115,0.313,0.727,1.149,1.543,1.937,2.331,0,0,0,0
"Performance analysis of short-side-chain Aquivionsperfluorosulfonic
acid polymer for proton exchange membrane water electrolysis", Italy,2014,40,1,1,1,2,5,85.52915767,0,14.47084233,0,0, IrO2,0.5,50,0.5,2 mg cm-2 Ir,0.3 mg cm-2 Pt,2,0.3,CCM,0,120,870,short-side-chain perfluorosulfonic acid (SSC-PFSA) membrane ,0.094,0.398,0.897,1.454,2.08,2.66,0,0,0,0
"Performance analysis of short-side-chain Aquivionsperfluorosulfonic
acid polymer for proton exchange membrane water electrolysis", Italy,2014,50,1,1,1,2,5,85.52915767,0,14.47084233,0,0, IrO2,0.5,50,0.5,2 mg cm-2 Ir,0.3 mg cm-2 Pt,2,0.3,CCM,0,120,870,short-side-chain perfluorosulfonic acid (SSC-PFSA) membrane ,0.148,0.487,1.007,1.695,2.295,3.041,0,0,0,0
"Performance analysis of short-side-chain Aquivionsperfluorosulfonic
acid polymer for proton exchange membrane water electrolysis", Italy,2014,60,1,1,1,2,5,85.52915767,0,14.47084233,0,0, IrO2,0.5,50,0.5,2 mg cm-2 Ir,0.3 mg cm-2 Pt,2,0.3,CCM,0,120,870,short-side-chain perfluorosulfonic acid (SSC-PFSA) membrane ,0.233,0.67,1.28,1.983,2.764,3.545,0,0,0,0
"Performance analysis of short-side-chain Aquivionsperfluorosulfonic
acid polymer for proton exchange membrane water electrolysis", Italy,2014,70,1,1,1,2,5,85.52915767,0,14.47084233,0,0, IrO2,0.5,50,0.5,2 mg cm-2 Ir,0.3 mg cm-2 Pt,2,0.3,CCM,0,120,870,short-side-chain perfluorosulfonic acid (SSC-PFSA) membrane ,0.303,0.782,1.397,2.194,2.989,3.784,0,0,0,0
"Performance analysis of short-side-chain Aquivionsperfluorosulfonic
acid polymer for proton exchange membrane water electrolysis", Italy,2014,90,1,1,1,2,5,85.52915767,0,14.47084233,0,0, IrO2,0.5,50,0.5,2 mg cm-2 Ir,0.3 mg cm-2 Pt,2,0.3,CCM,0,120,870,short-side-chain perfluorosulfonic acid (SSC-PFSA) membrane ,0.446,1.096,1.942,2.776,3.61,4.444,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",Italy,2014,27.5,3,3,3,3.33,6.25,85.52915767,0,14.47084233,0,0, IrO2,0.5,40,0.5,2,2 mg cm-2 Pt,1.710583153,2,CCM,0,120,870,E87-12S (short-side-chain perfluorosulfonic acid membrane ),0.016,0.034,0.304,0.706,1.133,1.596,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",Italy,2014,40,3,3,3,3.33,6.25,85.52915767,0,14.47084233,0,0, IrO2,0.5,40,0.5,2,2 mg cm-2 Pt,1.710583153,2,CCM,0,120,870,E87-12S (short-side-chain perfluorosulfonic acid membrane ),0.02,0.082,0.395,0.894,1.428,2.024,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",Italy,2014,60,3,3,3,3.33,6.25,85.52915767,0,14.47084233,0,0, IrO2,0.5,40,0.5,2,2 mg cm-2 Pt,1.710583153,2,CCM,0,120,870,E87-12S (short-side-chain perfluorosulfonic acid membrane ),0.024,0.27,0.849,1.474,2.099,2.724,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",Italy,2014,80,3,3,3,3.33,6.25,85.52915767,0,14.47084233,0,0, IrO2,0.5,40,0.5,2,2 mg cm-2 Pt,1.710583153,2,CCM,0,120,870,E87-12S (short-side-chain perfluorosulfonic acid membrane ),0.11,0.676,1.498,2.32,3.142,3.964,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",Italy,2014,90,3,3,3,3.33,6.25,85.52915767,0,14.47084233,0,0, IrO2,0.5,40,0.5,2,2 mg cm-2 Pt,1.710583153,2,CCM,0,120,870,E87-12S (short-side-chain perfluorosulfonic acid membrane ),0.198,0.972,1.776,2.58,3.384,4.188,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",Italy,2014,100,3,3,3,3.33,6.25,85.52915767,0,14.47084233,0,0, IrO2,0.5,40,0.5,2,2 mg cm-2 Pt,1.710583153,2,CCM,0,120,870,E87-12S (short-side-chain perfluorosulfonic acid membrane ),0.197,0.889,1.906,2.923,3.94,4.957,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",Italy,2014,110,3,3,3,3.33,6.25,85.52915767,0,14.47084233,0,0, IrO2,0.5,40,0.5,2,2 mg cm-2 Pt,1.710583153,2,CCM,0,120,870,E87-12S (short-side-chain perfluorosulfonic acid membrane ),0.297,1.097,1.995,2.893,3.791,4.689,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",Italy,2014,120,3,3,3,3.33,6.25,85.52915767,0,14.47084233,0,0, IrO2,0.5,40,0.5,2,2 mg cm-2 Pt,1.710583153,2,CCM,0,120,870,E87-12S (short-side-chain perfluorosulfonic acid membrane ),0.47,1.292,2.114,2.936,3.758,4.58,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",Italy,2014,27.5,3,3,3,3.33,6.25,85.52915767,0,14.47084233,0,0, IrO2,0.5,40,0.5,2,2 mg cm-2 Pt,1.710583153,2,CCM,0,120,870,E87-12S-ZrP(ZrP预处理 E87-12S）,0.011,0.041,0.25,0.52,0.821,1.141,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",Italy,2014,40,3,3,3,3.33,6.25,85.52915767,0,14.47084233,0,0, IrO2,0.5,40,0.5,2,2 mg cm-2 Pt,1.710583153,2,CCM,0,120,870,E87-12S-ZrP(ZrP预处理 E87-12S）,0.014,0.075,0.31,0.635,0.996,1.385,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",Italy,2014,60,3,3,3,3.33,6.25,85.52915767,0,14.47084233,0,0, IrO2,0.5,40,0.5,2,2 mg cm-2 Pt,1.710583153,2,CCM,0,120,870,E87-12S-ZrP(ZrP预处理 E87-12S）,0.017,0.2,0.529,0.925,1.377,1.809,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",Italy,2014,80,3,3,3,3.33,6.25,85.52915767,0,14.47084233,0,0, IrO2,0.5,40,0.5,2,2 mg cm-2 Pt,1.710583153,2,CCM,0,120,870,E87-12S-ZrP(ZrP预处理 E87-12S）,1.03,0.414,0.87,1.276,1.801,2.326,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",Italy,2014,90,3,3,3,3.33,6.25,85.52915767,0,14.47084233,0,0, IrO2,0.5,40,0.5,2,2 mg cm-2 Pt,1.710583153,2,CCM,0,120,870,E87-12S-ZrP(ZrP预处理 E87-12S）,0.127,0.529,1.02,1.481,2.004,2.527,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",Italy,2014,100,3,3,3,3.33,6.25,85.52915767,0,14.47084233,0,0, IrO2,0.5,40,0.5,2,2 mg cm-2 Pt,1.710583153,2,CCM,0,120,870,E87-12S-ZrP(ZrP预处理 E87-12S）,0.127,0.529,1.02,1.481,2.05,2.619,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",Italy,2014,110,3,3,3,3.33,6.25,85.52915767,0,14.47084233,0,0, IrO2,0.5,40,0.5,2,2 mg cm-2 Pt,1.710583153,2,CCM,0,120,870,E87-12S-ZrP(ZrP预处理 E87-12S）,0.204,0.625,1.177,1.65,2.123,2.596,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",Italy,2014,120,3,3,3,3.33,6.25,85.52915767,0,14.47084233,0,0, IrO2,0.5,40,0.5,2,2 mg cm-2 Pt,1.710583153,2,CCM,0,120,870,E87-12S-ZrP(ZrP预处理 E87-12S）,0.303,0.726,1.245,1.841,2.437,3.033,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",Italy,2014,80,3,3,3,3.33,6.25,85.52915767,0,14.47084233,0,0, IrO2,0.5,40,0.5,2,2 mg cm-2 Pt,1.710583153,2,CCM,0,70,206.185567,"sPBI-OO（polybenzimidazole poly-[(1-(4,40-diphe-
nylether)-5-oxybenzimidazole)-benzimidazole] ）",0.03,0.368,0.97,1.66,2.35,3.04,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",Italy,2014,100,3,3,3,3.33,6.25,85.52915767,0,14.47084233,0,0, IrO2,0.5,40,0.5,2,2 mg cm-2 Pt,1.710583153,2,CCM,0,70,206.185567,"sPBI-OO（polybenzimidazole poly-[(1-(4,40-diphe-
nylether)-5-oxybenzimidazole)-benzimidazole] ）",0.06,0.399,1.021,1.824,2.627,3.43,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",Italy,2014,110,3,3,3,3.33,6.25,85.52915767,0,14.47084233,0,0, IrO2,0.5,40,0.5,2,2 mg cm-2 Pt,1.710583153,2,CCM,0,70,206.185567,"sPBI-OO（polybenzimidazole poly-[(1-(4,40-diphe-
nylether)-5-oxybenzimidazole)-benzimidazole] ）",0.114,0.572,1.257,2.062,2.867,3.672,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",Italy,2014,120,3,3,3,3.33,6.25,85.52915767,0,14.47084233,0,0, IrO2,0.5,40,0.5,2,2 mg cm-2 Pt,1.710583153,2,CCM,0,70,206.185567,"sPBI-OO（polybenzimidazole poly-[(1-(4,40-diphe-
nylether)-5-oxybenzimidazole)-benzimidazole] ）",0.213,0.724,1.556,2.388,3.22,4.052,0,0,0,0
"Solution combustion synthesis of highly dispersible
and dispersed iridium oxide as an anode catalyst in
PEM water electrolysis",Spain,2017,80,1,1,1,0.5,4,85.52915767,0,14.47084233,0,1, IrO2（Purely insulating alumina作载体）,0.3,40,0.3,2,0.6,1.710583153,0.24,CCM,0,125,1100,nafion115,0.256,0.588,1.154,1.739,2.324,2.909,0,0,0,0
"Solution combustion synthesis of highly dispersible
and dispersed iridium oxide as an anode catalyst in
PEM water electrolysis",Spain,2017,80,1,1,1,0.5,4,74.37742114,16.76812396,8.854454898,0,0,IrRuOx (商用）,0.3,40,0.3,3,3,2.734366353,1.2,CCM,0,125,1100,nafion115,0.226,0.668,1.221,1.816,2.411,3.006,0,0,0,0
"Sulfated titania as additive in Nafion membranes
for water electrolysis applications",Italy,2017,80,1,1,1,4,5,74.37742114,16.76812396,8.854454898,0,0, Ir0.7Ru0.3Ox,0.25,30,0.5,1.5,0.5 mg cm-2 Pt,1.367183177,0.5,CCM,0,105,1031,nafion,0.407,0.892,1.487,2.089,2.595,3.029,0,0,0,0
"Sulfated titania as additive in Nafion membranes
for water electrolysis applications",Italy,2017,80,1,1,1,4,5,74.37742114,16.76812396,8.854454898,0,0, Ir0.7Ru0.3Ox,0.25,30,0.5,1.5,0.5 mg cm-2 Pt,1.367183177,0.5,CCM,0,105,1219.5,Nafion/S-TiO2 5wt.%,0.295,0.8,1.415,2.089,2.791,3.431,0,0,0,0
"Sulfated titania as additive in Nafion membranes
for water electrolysis applications",Italy,2017,100,1,1,1,4,5,74.37742114,16.76812396,8.854454898,0,0, Ir0.7Ru0.3Ox,0.25,30,0.5,1.5,0.5 mg cm-2 Pt,1.367183177,0.5,CCM,0,105,1031,nafion,0.714,1.208,1.674,2.181,2.594,3.014,0,0,0,0
"Sulfated titania as additive in Nafion membranes
for water electrolysis applications",Italy,2017,100,1,1,1,4,5,74.37742114,16.76812396,8.854454898,0,0, Ir0.7Ru0.3Ox,0.25,30,0.5,1.5,0.5 mg cm-2 Pt,1.367183177,0.5,CCM,0,105,1219.5,Nafion/S-TiO2 5wt.%,0.714,1.174,1.786,2.455,3.268,4.013,0,0,0,0
"Thin film surface modifications of thin/tunable liquid/gas diffusion layers
for high-efficiency proton exchange membrane electrolyzer cells",United States,2017,80,1,1,1,20,5,74.37742114,16.76812396,8.854454898,0,0, IrRuOx,,100,,3,3,2.734366353,3,CCM,0,125,1100,nafion115,0.565,1.312,2.059,2.806,3.553,4.3,0,0,0,0
"Thin film surface modifications of thin/tunable liquid/gas diffusion layers
for high-efficiency proton exchange membrane electrolyzer cells",United States,2017,80,1,1,1,20,5,74.37742114,16.76812396,8.854454898,0,0, IrRuOx,,100,,3,3,2.734366353,3,CCM,0,125,1100,nafion115,0.565,1.488,2.411,3.334,4.257,5.18,0,0,0,0
"Thin film surface modifications of thin/tunable liquid/gas diffusion layers
for high-efficiency proton exchange membrane electrolyzer cells",United States,2017,80,1,1,1,20,5,74.37742114,16.76812396,8.854454898,0,0, IrRuOx,,100,,3,3,2.734366353,3,CCM,0,125,1100,nafion115,0.714,1.712,2.71,3.708,4.706,5.704,0,0,0,0
"Thin film surface modifications of thin/tunable liquid/gas diffusion layers
for high-efficiency proton exchange membrane electrolyzer cells",United States,2017,80,1,1,1,20,5,74.37742114,16.76812396,8.854454898,0,0, IrRuOx,,100,,3,3,2.734366353,3,CCM,0,125,1100,nafion115,0.756,1.634,2.512,3.39,4.268,5.146,0,0,0,0
Analysis of performance degradation during steady-state and load-thermal cycles of proton exchange membrane water electrolysis cells,Italy,2020,80,1,1,1,1,5,74.37742114,16.76812396,8.854454898,0,0,Pure Oxide,0.2,40,0.39,0.34 mg cm-2 IrRu,0.1 mg cm-2 Pt,0.34,0.1,CCM,0,90,980,E98-09S,0.40496,1.02934,1.92672,2.83694,3.67908,4.50965,0,0,0,0
Analysis of Voltage Losses in PEM Water Electrolyzers with Low Platinum Group Metal Loadings,Germany,2018,80,1,1,1,5,5,75,0,17.5,0,1,IrO2/TiO2,0.13,45.8,0.25,1.62 mg cm-2 Ir,0.3 mg cm-2 Pt,1.62,0.3,CCM,0,50,1100,Nafion 212,0.31458,1.42213,2.59793,4.02916,5.34559,6.95986,0,0,0,0
Analysis of Voltage Losses in PEM Water Electrolyzers with Low Platinum Group Metal Loadings,Germany,2018,80,1,1,1,5,5,75,0,17.5,0,1,IrO2/TiO2,0.13,4.8,0.25,1.58 mg cm-2 Ir,0.025 mg cm-2 Pt,1.58,0.025,CCM,0,50,1100,Nafion 212,0.31458,1.40455,2.46142,3.78614,5.07672,6.28665,0,0,0,0
Analysis of Voltage Losses in PEM Water Electrolyzers with Low Platinum Group Metal Loadings,Germany,2018,80,1,1,1,5,5,75,0,17.5,0,1,IrO2/TiO2,0.13,4.8,0.25,0.2 mg cm-2 Ir,0.025 mg cm-2 Pt,0.2,0.025,CCM,0,50,1100,Nafion 212,0.01631,0.28745,0.84102,1.55687,2.45758,3.48153,0,0,0,0
Analysis of Voltage Losses in PEM Water Electrolyzers with Low Platinum Group Metal Loadings,Germany,2018,80,1,1,1,5,5,75,0,17.5,0,1,IrO2/TiO2,0.13,4.8,0.25,3.97 mg cm-2 Ir,0.025 mg cm-2 Pt,3.97,0.025,CCM,0,50,1100,Nafion 212,0.38706,1.33749,2.48839,3.50633,4.6323,5.4609,0,0,0,0
Anodic microporous layer for polymer electrolyte membrane water electrolysers,Germany,2017,80,3,3,3,,,85.52915767,0,14.47084233,0,0,Pure Oxide,0.18,40,,1.1,0.5 mg cm-2 Pt,0.940820734,0.5,GDE,1,175,1100,Nafion 117,0.03083,0.09754,0.16425,0.23096,0.29767,0.36438,0,0,0,0
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,France,2013,25,1,1,1,,5,76.72992366,2.378541997,15.30031216,0,1,Ru0.85Ir0.05Sn0.1O2,1.425,46.1,0.37,2.5,0.4 mg cm-2 Pt,1.977711641,0.4,CCM,0,125,1100,Nafion 115,0.0033,0.01482,0.08815,0.1593,0.24452,0.33727,0,0,0,0
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,France,2013,25,1,1,1,,5,79.37854279,2.460646234,15.82845943,0,1,Ru0.85Ir0.05Ti0.1O2,1.425,46.1,0.37,2.5,0.4 mg cm-2 Pt,2.045979726,0.4,CCM,0,125,1100,Nafion 115,0.0037,0.03325,0.09687,0.17991,0.26711,0.37294,0,0,0,0
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,France,2013,25,1,1,1,,5,80.2284846,4.689280639,15.08223476,0,0,Ru0.9Ir0.1O2,1.425,46.1,0.37,2.5,0.4 mg cm-2 Pt,2.122944131,0.4,CCM,0,125,1100,Nafion 115,0.02017,0.11292,0.24353,0.37076,0.50216,0.63375,0,0,0,0
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,France,2013,60,5,5,5,,25,80.2284846,4.689280639,15.08223476,0,0,Ru0.9Ir0.1O2,1.425,46.1,0.37,1.5,0.4 mg cm-2 Pt,1.273766479,0.4,CCM,0,125,1100,Nafion 115,0.05484,0.22595,0.47586,0.75084,0.94583,1.09187,0,0,0,0
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,France,2013,60,5,5,5,,25,80.2284846,4.689280639,15.08223476,0,0,Ru0.9Ir0.1O2,1.425,46.1,0.37,1.75,0.4 mg cm-2 Pt,1.486060892,0.4,CCM,0,175,1100,Nafion 117,0.03534,0.14477,0.31688,0.49655,0.68816,0.82784,0,0,0,0
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,France,2013,60,10,10,10,,25,80.2284846,4.689280639,15.08223476,0,0,Ru0.9Ir0.1O2,1.425,46.1,0.37,1.5,0.4 mg cm-2 Pt,1.273766479,0.4,CCM,0,125,1100,Nafion 115,0.04509,0.23133,0.51924,0.8159,1.10262,1.38934,0,0,0,0
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,France,2013,60,10,10,10,,25,80.2284846,4.689280639,15.08223476,0,0,Ru0.9Ir0.1O2,1.425,46.1,0.37,1.5,0.4 mg cm-2 Pt,1.273766479,0.4,CCM,0,175,1100,Nafion 117,0.0234,0.12846,0.32225,0.51386,0.72159,0.86783,0,0,0,0
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,France,2013,60,10,10,10,,25,79.37854279,2.460646234,15.82845943,0,1,Ru0.85Ir0.05Ti0.1O2,1.425,46.1,0.37,1.5,0.4 mg cm-2 Pt,1.227587835,0.4,CCM,0,175,1100,Nafion 117,0.03737,0.22518,0.51362,0.80752,1.07373,1.33994,0,0,0,0
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,France,2013,60,10,10,10,,25,79.37854279,2.460646234,15.82845943,0,1,Ru0.85Ir0.05Ti0.1O2,1.425,46.1,0.37,1.5,0.4 mg cm-2 Pt,1.227587835,0.4,CCM,0,175,1100,Nafion 117,0.0204,0.1497,0.41181,0.67802,0.94852,1.21902,1,1,12,250
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,France,2013,60,1,1,1,,25,79.37854279,2.460646234,15.82845943,0,1,Ru0.85Ir0.05Ti0.1O2,1.425,46.1,0.37,1.5,0.4 mg cm-2 Pt,1.227587835,0.4,CCM,0,175,1100,Nafion 117,0.0637,0.26023,0.53021,0.85188,1.16658,1.48334,0,0,0,0
Influence of iridium oxide loadings on the performance of PEM water electrolysis cells: Part I–Pure IrO2-based anodes,France,2015,80,1,1,1,3.333333333,25,85.52915767,0,14.47084233,0,0,Pure Oxide,0.11,46,0.35,0.1,0.25 mg cm-2 Pt,0.085529158,0.25,CCM,0,125,1100,Nafion 115,0.08567,0.27026,0.51747,0.78519,1.06613,1.31522,0,0,0,0
Influence of iridium oxide loadings on the performance of PEM water electrolysis cells: Part I–Pure IrO3-based anodes,France,2015,80,1,1,1,3.333333333,25,85.52915767,0,14.47084233,0,0,Pure Oxide,0.11,46,0.35,0.23,0.25 mg cm-2 Pt,0.196717063,0.25,CCM,0,125,1100,Nafion 115,0.11563,0.34583,0.6211,0.96438,1.30955,1.62639,0,0,0,0
Influence of iridium oxide loadings on the performance of PEM water electrolysis cells: Part I–Pure IrO4-based anodes,France,2015,80,1,1,1,3.333333333,25,85.52915767,0,14.47084233,0,0,Pure Oxide,0.11,46,0.35,0.32,0.25 mg cm-2 Pt,0.273693305,0.25,CCM,0,125,1100,Nafion 115,0.12696,0.39872,0.75118,1.13224,1.52086,1.91488,0,0,0,0
Influence of iridium oxide loadings on the performance of PEM water electrolysis cells: Part I–Pure IrO5-based anodes,France,2015,80,1,1,1,3.333333333,25,85.52915767,0,14.47084233,0,0,Pure Oxide,0.11,46,0.35,0.4,0.25 mg cm-2 Pt,0.342116631,0.25,CCM,0,125,1100,Nafion 115,0.14963,0.47024,0.8513,1.26044,1.73191,2.12646,0,0,0,0
Influence of iridium oxide loadings on the performance of PEM water electrolysis cells: Part I–Pure IrO6-based anodes,France,2015,80,1,1,1,3.333333333,25,85.52915767,0,14.47084233,0,0,Pure Oxide,0.11,46,0.35,0.71,0.25 mg cm-2 Pt,0.607257019,0.25,CCM,0,125,1100,Nafion 115,0.21845,0.56443,0.96735,1.43666,1.86064,2.36018,0,0,0,0
Influence of iridium oxide loadings on the performance of PEM water electrolysis cells: Part I–Pure IrO7-based anodes,France,2015,80,1,1,1,3.333333333,25,85.52915767,0,14.47084233,0,0,Pure Oxide,0.11,46,0.35,1.71,0.15 mg cm-2 Pt,1.462548596,0.15,CCM,0,125,1100,Nafion 115,0.22358,0.56443,0.96735,1.43666,1.89005,2.36018,0,0,0,0
Initial Performance and Durability of Ultra-Low Loaded NSTF Electrodes for PEM Electrolyzers,USA,2012,80,1,1,1,250,86,50,0,0,0,0,NTSF,0,50,0,0.15 mg cm-2 PtIr,0.15 mg cm-2 Pt,0.15,0.15,CCM,0,175,1100,Nafion 117,0.04736,0.32901,0.72662,1.23626,1.68358,2.21294,0,0,0,0
